           G                          U                         S
   4.1143369971670327E-021   1.2260724251557757E-008   2.4780651447409472     
   4.1143369971670327E-021   1.2260724251557757E-008   2.4780651447409472     
   1.2624959077072325E-021   6.1303621257788784E-009   1.2390325723704736     
   4.1143369971670327E-021   1.2260724251557757E-008   2.4780651447409472     
   4.1143369971670327E-021   1.2260724251557757E-008   2.4780651447409472     
   4.1143369971670327E-021   1.2260724251557757E-008   2.4780651447409472     
   1.2624959077072325E-021   6.1303621257788784E-009   1.2390325723704736     
   4.1143369971670327E-021   1.2260724251557757E-008   2.4780651447409472     
