          G                          U                         S
4.1143370000000004e-21 1.226072426e-08 2.4780651751000002
4.1143370000000004e-21 1.226072426e-08 2.4780651751000002
1.2624959085765365e-21 6.13036213e-09 1.2390325875500001
4.1143370000000004e-21 1.226072426e-08 2.4780651751000002
4.1143370000000004e-21 1.226072426e-08 2.4780651751000002
4.1143370000000004e-21 1.226072426e-08 2.4780651751000002
1.2624959085765365e-21 6.13036213e-09 1.2390325875500001
4.1143370000000004e-21 1.226072426e-08 2.4780651751000002
